title, company, location, link
소프트웨어 개발자(python),화인기계전자,대구 달서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d87dc8049ef2536f&from=serp&vjs=3
(주)아이옵스 소프트웨어 개발자,아이옵스,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ae22088cdea0b40c&from=serp&vjs=3
(데이터개발) API플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1c2dec1a2156f6aa&from=serp&vjs=3
(주)솔라라이트 인공지능(AI)개발 인재,솔라라이트,대구 동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cd2b0ac9fdf63364&from=serp&vjs=3
경력 개발자,thecompany,경상남도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=119a763a71f6570d&from=serp&vjs=3
"Backend, Frontend 개발자 경력무관 정규직",카라멜라,광주 동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1f8632d48f453a09&from=serp&vjs=3
(주)엘솔루 R&D본부 ASR팀 개발직,㈜엘솔루,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=743d56716c09004f&from=serp&vjs=3
"(python, C++) 반려 로봇 시스템 개발자",와이닷츠,서울 성북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=19426a808d49f3eb&from=serp&vjs=3
[명지대학교 영재교육센터] STEAM(융합)교육 교사 (에이쳐),명지대학교 과학영재교육센터,용인 처인구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4be3857b0ecac58&from=serp&vjs=3
쎄미시스코 개발자,쎄미시스코,수원 권선구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=576b687b14b66857&from=serp&vjs=3
"HTML·DHTML·mHTML, JAVA 외 신입/경력 정규직, 계약직, 인턴 외",119종합솔루션,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ffb319f25ac9bc11&from=serp&vjs=3
소프트웨어 연구개발 보조연구원,에이아이큐브,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=36fd2bf300a7afcd&from=serp&vjs=3
[AI기반 IT벤처기업] AI 엔지니어 (신입/경력),TrueHR,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d4230d16145e64fa&from=serp&vjs=3
"웹개발, 모바일개발, C언어, JAVA 개발 경력자",데이빅스,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9e9711cc7734fd8d&from=serp&vjs=3
데이터분석가 신입/경력 정규직,에이아이더뉴트리진서울사무소,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07c39ed82823d47f&from=serp&vjs=3
"웹개발, 모바일개발, C언어, JAVA 개발 경력자",데이빅스,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9e9711cc7734fd8d&from=serp&vjs=3
"Android 신입/경력 정규직, 계약직",비버소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8166890c31ae1c53&from=serp&vjs=3
[코그넥스] 딥러닝 연구원 (신입/경력/전문연구요원),코그넥스코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5331de34a85a125a&from=serp&vjs=3
[DL이앤씨 (구.대림산업)] 외주구매기획팀 데이터 정리 현채직,DL이앤씨,서울 종로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ba008e5b6fac9b75&from=serp&vjs=3
"HTML·DHTML·mHTML, JAVA 외 신입/경력 정규직, 계약직, 인턴 외",119종합솔루션,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ffb319f25ac9bc11&from=serp&vjs=3
[구로발게임즈] 실사형 대작 전략RPG 클라이언트 개발자 (경력 5년 이상),구로발게임즈,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=205513cae6687aa5&from=serp&vjs=3
AI 분석 및 컨설팅 부문_신입 1차,Success Korea,서울 선릉역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ae4be67aa7f08858&from=serp&vjs=3
